Gruppe;GUT-Nummer;Bezeichnung;Zusatz;Hersteller;Menge;zugeordneter EK;Warenwert;zugeordnete R+F-Nr;R+F-Nr mehrfach vergeben;Satz der Gruppe;Hebel auf den Satz;richtige R+F-Nummer;Bemerkung
unbekanntes_system / 22-28mm / gewinde;ISIV2520AT;"Anschlussverschraubung T110 25x3/4"" AG";Isiflo Messing Wasser;ISHE01;2;30,57;61;0631110032300;;30,57;;;
"gewinde-schwarz / 1"" und groesser / gewinde";NIPS2515;"Rohrdoppelnippel Nr.23 1"" x 150mm";schwarz;GCUN01;60;1,01;61;0000100322582;ja (4x);1,42;-0,05;;
ungeklaert;FPAT252550II;TRINNITY flex. Panzerschlauch f. Heizung;"Trinkwasser 1"" IG x 1"" IG, 500 mm";FLRE01;2;29,47;59;1016302003711;;;;;
connect-inox / 35mm und groesser / presse;COCIT3515INL;"CONNECT INOX HEAT T-Stück 35x1/2""x35mm";1.4307 CONEL;RACA01;4;14,55;58;7085929351000;ja (2x);9,07;0,11;;
"maxipro-kupfer / bis 3/4"" / presse";BMPB10;"Bogen 90° B Maxipro 3/8"" i/i";Kupfer für Kälteanlagen;BAGI01;5;11,25;56;2021511290038;;11,25;;;
"megapress-stahl / 1"" und groesser / presse";MPRVT25;"Megapress-T-Stück DN 25 1""";Stahl unlegiert,verzinkt,Pressanschluss;VIAT01;2;25,65;51;1017314020200;;25,65;;;
ungeklaert;COFEL2813;CONEL FLEX EL Schlauchisolierung 50%;28 x 13mm ungeschl. Länge: 2m;LIRO03;12;4,05;49;1005021035020;;;;;
ungeklaert;CCLSTS8100;Stockschraube KLICK M8x100;I-Stern galv. verz. CONEL;FUBE01;100;0,47;47;1015115110000;ja (2x);;;;
ungeklaert;CCLSTS8120;Stockschraube KLICK M8x120;I-Stern galv. verz. CONEL;FUBE01;100;0,47;47;1015115110000;ja (2x);;;;
prestabo-stahl / 35mm und groesser / presse;POVT3515;Prestabo-T-Stück 35 x 15 x 35mm;Stahl unlegiert,verzinkt, Pressanschluss;VIAT01;4;10,51;42;7020900558932;ja (2x);8,06;0,01;;
rohr;SPPR50100;Silent PP Rohr DN 50 mit 1 Muffe;Länge 1000mm Geberit;GEPF01;10;3,84;38;1009100050100;;;;;
sonstiges;WFBD16090;Bogen gepresst Wickelfalz vz.DN 160;90 Grad m.Dichtung;ROHA09;2;17,69;35;7085907540000;;;;;
"maxipro-kupfer / 1"" und groesser / presse";BMPB1645;"Bogen 45° B Maxipro 5/8"" i/i";Kupfer für Kälteanlagen;BAGI01;3;11,25;34;2021511045058;;15,43;-1,57;;
rohr;CUS15H;Kupferrohr Sanco-DVGW EN 1057 15 x 1.0mm;halbhart in Stangen R250;KAOS01;5;6,47;32;1011960150000;;;;;
"gewinde-schwarz / 1"" und groesser / gewinde";NIPS2510;"Rohrdoppelnippel Nr.23 1"" x 100mm";schwarz;GCUN01;31;1,01;31;0000100322582;ja (4x);1,42;-0,02;;
ungeklaert;WFREN1603;Wickelfalzrohr verzinkt DN 160;nach DIN EN 12237 Länge 3 Meter;ROHA09;3;10,34;31;2029415200300;;;;;
daemmung;COFW3520;CONEL FLEX WOOL Isolierschale, 50%;35x20mm, mit alukaschierter Folie, 1m;LIRO03;14;2,02;28;1029988999086;ja (3x);;;;
ungeklaert;FPAT1820100IA;TRINNITY flex. Panzerschlauch f. Heizung;"Trinkwasser 3/4"" IG x 3/4"" AG, 1000 mm";FLRE01;1;28,11;28;1016302002614;;;;;
sonstiges;SPPB5088;Bogen Silent PP DN 50 87,5 Grad m.Muffe;Geberit;GEPF01;9;2,97;27;1009505050088;;;;;
"gewinde-schwarz / 1"" und groesser / gewinde";NIPS2512;"Rohrdoppelnippel Nr.23 1"" x 120mm";schwarz;GCUN01;26;1,01;26;0000100322582;ja (4x);1,42;-0,02;;
"gewinde-schwarz / 1"" und groesser / gewinde";241S3215;"Reduzierstueck Nr.241 1 1/4"" x 1/2""";schwarz;GCUN01;10;2,54;25;1012561410000;;1,42;0,02;;
"rotguss-gewinde / 1"" und groesser / gewinde";32453225;"Doppelnippel Rotguss 1 1/4"" x 1""";3245;VIAT01;4;6,14;25;1014057430000;;5,23;0,00;;
"rotguss-gewinde / 1"" und groesser / gewinde";32413215;"Reduzierstueck Rotguss 1 1/4"" x 1/2""";3241;VIAT01;4;5,93;24;1014200447984;;5,23;0,00;;
"unbekanntes_system / 1"" und groesser / gewinde";PV25I;"Pumpenverschraubung 1"" x 1 1/2"" IG";Temperguss m.Dichtung f.Heizungspumpen;ATSA02;3;7,54;23;1012931300000;;7,54;;;
ventil;CASSV156;"Solar-Sicherheitsventil 1/2""x6 bar";einsetzbar bis 160 Grad verchromt;DEMU02;1;21,81;22;7079056106000;;;;;
ungeklaert;FPAT182050II;TRINNITY flex. Panzerschlauch f. Heizung;"Trinkwasser 3/4"" IG x 3/4"" IG, 500mm";FLRE01;1;19,50;20;1016302003611;;;;;
